Source_Name,Xray_Index,FX,FG,PL_Index,PLEC_SigCurv,Variability_Index,finalV,Class
4FGL J2055.4-0020,2.037,1.989E-11,3.916095E-12,1.8690296,1.5279193,10.377656,19.07,bzr
4FGL J2056.2-4714,1.478,4.166E-12,6.7512024E-11,2.4467964,8.014952,902.16144,20.1,bzr
4FGL J2103.8-6233,2.86,1.033E-12,1.45318115E-11,2.022396,4.6744566,37.647785,17.56,bzr
4FGL J2108.7-0250,2.456,1.848E-12,3.98705E-12,2.0983315,0.09464448,10.440263,17.813,bzr
4FGL J2108.9-6638,2.21,8.083E-13,7.446751E-12,2.0827289,0.723573,5.6435347,19.32,bzr
4FGL J2115.4+2932,1.525,5.421E-13,2.3495313E-11,2.3234506,5.484022,413.85272,20.5,bzr
4FGL J2118.0+0019,1.982,3.41E-13,2.9190784E-12,2.5648456,0.7114512,28.028568,20.29,bzr
4FGL J2123.6+0535,1.954,1.892E-12,5.5333663E-12,2.3648615,0.3990354,26.685188,18.5,bzr
4FGL J2126.3-4605,1.355,1.792E-12,1.493339E-11,2.5538874,1.723283,553.8177,19.0,bzr
4FGL J2131.5-0916,2.459,5.568E-12,7.651682E-12,1.9745489,0.32163084,16.088516,19.0,bzr
4FGL J2131.7-2515,2.312,9.045E-12,3.561832E-12,1.8672062,1.5294055,10.316095,19.342,bzr
4FGL J2134.2-0154,1.785,1.739E-12,1.2249363E-11,2.3003154,1.3438128,62.796955,20.0,bzr
4FGL J2139.4-4235,2.368,9.942E-13,4.243272E-11,2.0350103,5.9266787,380.49533,17.2,bzr
4FGL J2143.5+1743,1.402,3.072E-12,7.244521E-11,2.5002623,3.5901046,103.82232,16.73,bzr
4FGL J2145.0-3356,1.911,2.746E-13,1.463455E-11,2.3124094,2.8931985,289.80893,19.725,bzr
4FGL J2145.7+0718,2.02,6.194E-12,2.8453882E-12,2.1587486,0.21588908,3.6562572,19.04,bzr
4FGL J2146.4-1528,1.71,1.901E-12,5.7353016E-12,2.7851458,1.3437438,42.244152,18.27,bzr
4FGL J2147.1+0931,1.461,1.864E-12,2.3709352E-11,2.5014362,4.8927503,568.3261,19.54,bzr
4FGL J2147.3-7536,1.411,3.541E-12,6.877983E-11,2.420381,7.304461,1584.4125,18.3,bzr
4FGL J2150.1-1410,1.928,1.46E-11,5.066879E-12,1.8052657,1.5056721,10.94667,19.5,bzr
4FGL J2151.8-3027,1.197,2.187E-11,3.4637043E-11,2.84,7.438828,740.04486,19.0,bzr
4FGL J2153.1-0041,1.689,1.097E-11,2.3023415E-12,1.7718229,0.28546464,10.262399,19.48,bzr
4FGL J2156.0+1818,2.82,1.493E-12,5.8702223E-12,1.7700119,1.559757,11.658683,18.536,bzr
4FGL J2158.1-1501,1.779,2.466E-12,9.523703E-12,2.1953216,2.4202707,18.647638,18.5,bzr
4FGL J2158.8-3013,2.386,1.315E-10,2.1380211E-10,1.8488208,5.1019106,646.9514,14.09,bzr
4FGL J2201.5-8339,0.8297,1.161E-12,2.264858E-11,2.5257688,5.5757146,302.83655,19.5,bzr
4FGL J2202.7+4216,1.687,1.581E-11,2.0163962E-10,2.2328286,8.503533,2474.0308,15.72,bzr
4FGL J2203.4+1725,1.708,1.111E-12,3.5837906E-11,2.311638,4.2978253,671.9468,17.562,bzr
4FGL J2204.3+0438,1.573,2.934E-12,3.5559812E-12,2.3392997,2.9099755,18.917612,16.2,bzr
4FGL J2207.5-5346,1.347,2.338E-12,8.323511E-12,2.4188657,1.1009595,79.87088,19.0,bzr
4FGL J2212.0+2356,1.68,5.684E-13,1.1002525E-11,2.2229416,2.7644508,4.524477,19.62,bzr
4FGL J2212.9-2526,1.441,4.596E-13,5.191987E-12,2.2784188,1.9259872,24.743803,20.0,bzr
4FGL J2216.9+2421,1.757,1.174E-12,8.579782E-12,2.2886872,1.6249474,36.19286,18.16,bzr
4FGL J2221.5-5225,2.75,5.842E-12,8.878894E-12,1.7790759,2.7397594,25.325272,17.9,bzr
4FGL J2224.0-1127,1.389,3.711E-13,2.3239663E-12,2.0967262,2.0234547,11.016076,19.669,bzr
4FGL J2225.7-0457,1.575,3.329E-12,1.3837093E-11,2.419584,3.2294872,166.97598,19.39,bzr
4FGL J2229.7-0832,1.483,3.779E-12,4.7266645E-11,2.5961993,6.3224874,492.7283,18.41,bzr
4FGL J2232.6+1143,1.352,1.651E-11,2.201181E-10,2.3785121,16.43732,14315.209,18.33,bzr
4FGL J2232.6-2023,2.26,5.143E-12,2.3557018E-12,2.013651,0.74598396,8.270758,18.7,bzr
4FGL J2235.3-4836,1.59,3.39E-12,1.0527772E-11,2.510441,0.5692595,60.973278,18.2,bzr
4FGL J2236.3+2828,1.554,1.669E-12,4.1038284E-11,2.29728,8.626903,387.64642,20.0,bzr
4FGL J2236.5-1433,1.554,6.138E-12,6.3668404E-11,2.145998,6.675215,1534.8916,19.66,bzr
4FGL J2243.4-2544,2.037,4.801E-13,1.4746206E-11,2.1196923,3.9877267,27.560143,18.775,bzr
4FGL J2243.9+2021,2.708,4.671E-12,4.1674598E-11,1.8550937,6.235906,116.386406,17.0,bzr
4FGL J2246.7-5207,2.091,2.814E-11,2.0408252E-12,1.612939,1.1838099,15.586536,19.2,bzr
4FGL J2247.8+4413,2.84,3.201E-12,6.221992E-12,1.7646433,1.3333254,13.161317,18.965,bzr
4FGL J2248.7-3235,1.151,1.219E-12,5.074806E-12,2.839221,0.7338602,39.574738,19.6,bzr
4FGL J2250.0+3825,2.34,1.573E-11,9.308798E-12,1.716951,0.083622694,24.531927,17.0,bzr
4FGL J2250.7-2806,1.428,9.598E-13,2.6221232E-11,2.181623,4.609641,502.9007,22.113,bzr
4FGL J2252.0+4031,1.838,4.039E-13,1.08045396E-11,2.013958,2.084195,19.691181,18.192,bzr
4FGL J2253.9+1609,1.455,5.883E-11,1.1148474E-9,2.3871574,39.507847,50905.23,17.1,bzr
4FGL J2256.6-2011,1.953,9.793E-13,9.674515E-12,2.1192822,1.472141,7.878109,19.5,bzr
4FGL J2258.1-2759,1.627,2.285E-12,2.6900392E-11,2.4349477,8.209972,638.48035,17.77,bzr
4FGL J2258.4-5524,2.62,1.9E-12,3.5866416E-12,2.2129064,0.42502913,5.5618305,18.9,bzr
4FGL J2304.6+3704,2.671,5.653E-12,7.752719E-12,1.8313485,1.4826201,37.477444,18.5,bzr
4FGL J2311.0+3425,1.465,1.115E-12,4.9153667E-11,2.3466845,7.7974267,1853.3151,20.5,bzr
4FGL J2314.0+1445,2.253,3.471E-12,7.264164E-12,1.892886,1.5010129,11.99055,18.14,bzr
4FGL J2315.6-5018,1.921,5.491E-13,5.0320156E-12,2.384639,0.07591267,25.431484,19.95,bzr
